Position Holder,Name of Share Issuer,ISIN,Net Short Position (%),Position Date
BlackRock Investment Management (UK) Limited,HARGREAVES LANSDOWN PLC,GB00B1VZ0M25,1.30,30/05/2023
Canada Pension Plan Investment Board,HARGREAVES LANSDOWN PLC,GB00B1VZ0M25,1.10,24/05/2023
Kintbury Capital LLP,HARGREAVES LANSDOWN PLC,GB00B1VZ0M25,1.00,27/02/2023
Marshall Wace LLP,HAYS PLC,GB0004161021,0.60,28/06/2023
GLG Partners LP,HELIOS TOWERS PLC,GB00BJVQC708,0.78,27/06/2023
GLG Partners LP,HG CAPITAL TRUST PLC,GB00BJ0LT190,0.50,26/05/2023
Millennium International Management LP,HIKMA PHARMACEUTICALS PLC,GB00B0LCW083,0.57,03/07/2023
Fraser John Perring,Home REIT PLC,GB00BJP5HK17,0.82,22/11/2022
Millennium Capital Partners LLP,HOWDEN JOINERY GROUP PLC,GB0005576813,0.50,06/07/2023
Millennium International Management LP,HOWDEN JOINERY GROUP PLC,GB0005576813,0.50,26/06/2023
BlackRock Investment Management (UK) Limited,IBSTOCK PLC,GB00BYXJC278,0.83,15/06/2023
Marshall Wace LLP,IMPERIAL BRANDS PLC,GB0004544929,0.59,30/06/2023
Marshall Wace LLP,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057,0.60,22/06/2023
Point72 Europe (London) LLP,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057,0.80,21/06/2023
Qube Research & Technologies Limited,International Distributions Services plc,GB00BDVZYZ77,0.59,26/06/2023
AHL Partners LLP,Invesco DB Commodity Index Tracking Fund,US46138B1035,0.58,23/06/2023
GSA Capital Partners LLP,IOG PLC,GB00BF49WF64,1.00,28/06/2023
JPMorgan Asset Management (UK) Ltd,IQE,GB0009619924,0.94,22/05/2023
BlackRock Investment Management (UK) Limited,ITM Power PLC,GB00B0130H42,1.21,02/06/2023
Ennismore Fund Management Limited,ITM Power PLC,GB00B0130H42,0.53,31/01/2023
Helikon Investments Limited,ITM Power PLC,GB00B0130H42,2.81,05/07/2023
GLG Partners LP,ITV PLC,GB0033986497,0.60,16/06/2023
GLG Partners LP,IWG PLC,JE00BYVQYS01,0.70,16/12/2022
JPMorgan Asset Management (UK) Ltd,IWG PLC,JE00BYVQYS01,0.60,12/05/2023
BlackRock Investment Management (UK) Limited,J. Sainsbury PLC,GB00B019KW72,2.12,05/07/2023
GLG Partners LP,J. Sainsbury PLC,GB00B019KW72,0.83,22/06/2023
D. E. Shaw & Co. LP,Jet2 Plc,GB00B1722W11,0.50,28/06/2023
Linden Advisors LP,Jet2 Plc,GB00B1722W11,0.59,05/04/2023
Albar Capital Limited,JOHNSON MATTHEY PLC,GB00BZ4BQC70,0.55,25/05/2023
BlackRock Investment Management (UK) Limited,JOHNSON MATTHEY PLC,GB00BZ4BQC70,1.30,05/07/2023
Marshall Wace LLP,JOHNSON MATTHEY PLC,GB00BZ4BQC70,1.11,22/06/2023
GLG Partners LP,JTC ORD,JE00BF4X3P53,0.57,19/06/2023
Gladstone Capital Management LLP,Keyws Studios,GB00BBQ38507,1.04,30/06/2023
Marble Bar Asset Management LLP,Keyws Studios,GB00BBQ38507,0.75,07/06/2023
SFM UK Management LLP,Keyws Studios,GB00BBQ38507,1.59,15/03/2023
Tellworth Investments LLP,Keyws Studios,GB00BBQ38507,0.73,24/05/2023
AKO Capital LLP,KINGFISHER PLC,GB0033195214,1.42,23/05/2023
BlackRock Investment Management (UK) Limited,KINGFISHER PLC,GB0033195214,0.71,28/06/2023
Canada Pension Plan Investment Board,KINGFISHER PLC,GB0033195214,1.19,16/06/2023
Kintbury Capital LLP,KINGFISHER PLC,GB0033195214,0.67,30/06/2023
Marshall Wace LLP,KINGFISHER PLC,GB0033195214,0.67,26/06/2023
Balyasny Asset Management,LAND SECURITIES GROUP PLC,GB00BYW0PQ60,0.50,28/06/2023
Canada Pension Plan Investment Board,LAND SECURITIES GROUP PLC,GB00BYW0PQ60,0.53,26/06/2023
Marshall Wace LLP,LAND SECURITIES GROUP PLC,GB00BYW0PQ60,0.60,04/07/2023
GLG Partners LP,LEGAL & GENERAL GROUP PLC,GB0005603997,0.75,06/07/2023
Samson Rock Capital LLP,LONDONMETRIC PROPERTY PLC,GB00B4WFW713,0.62,30/06/2023
BlackRock Investment Management (UK) Limited,MARKS & SPENCER GROUP PLC,GB0031274896,0.79,21/06/2023
BlackRock Investment Management (UK) Limited,MARLOWE PLC,GB00BD8SLV43,0.53,24/03/2023
GLG Partners LP,MARLOWE PLC,GB00BD8SLV43,0.60,02/05/2023
SFM IRELAND MANAGEMENT LIMITED,MARLOWE PLC,GB00BD8SLV43,0.80,19/10/2022
Panmure Gordon,MCCOLL'S RETAIL GROUP PLC,GB00BJ3VW957,1.40,30/06/2023
Millennium International Management LP,MELROSE INDUSTRIES PLC,GB00BNR5MZ78,1.56,19/04/2023
P. Schoenfeld Asset Management LP,MELROSE INDUSTRIES PLC,GB00BNGDN821,0.54,29/03/2018
Qube Research & Technologies Limited,MELROSE INDUSTRIES PLC,GB00BNGDN821,0.59,26/06/2023
ODEY ASSET MANAGEMENT LLP,Metro Bank Holdings Plc,GB00BMX3W479,2.24,29/03/2023
ODEY ASSET MANAGEMENT LLP,Metro Bank Holdings Plc,GB00BMX3W479,1.16,05/07/2023
"Glazer Capital, LLC",MICRO FOCUS INTERNATIONAL PLC,GB00BJ1F4N75,0.92,17/01/2023
BlackRock Investment Management (UK) Limited,MOONPIG GROUP PLC,GB00BMT9K014,0.75,29/06/2023
Ennismore Fund Management Limited,MOONPIG GROUP PLC,GB00BMT9K014,0.68,29/06/2023
GLG Partners LP,MOONPIG GROUP PLC,GB00BMT9K014,0.80,30/05/2023
JPMorgan Asset Management (UK) Ltd,MOONPIG GROUP PLC,GB00BMT9K014,1.29,03/07/2023
GLG Partners LP,MORTGAGE ADVICE BUREAU HOLDINGS LTD,GB00BQSBH502,0.66,27/06/2023
Menta Capital LLC,Mothercare,GB0009067447,0.78,22/08/2018
Ennismore Fund Management Limited,Naked Wine,GB00B021F836,2.09,21/04/2023
Jupiter Investment Management Limited,Naked Wine,GB00B021F836,0.55,31/05/2023
SFM IRELAND MANAGEMENT LIMITED,Naked Wine,GB00B021F836,0.99,10/01/2023
GLG Partners LP,National Express Group Plc,GB0006215205,1.10,28/06/2023
Systematica Investments Limited,National Express Group Plc,GB0006215205,1.09,07/06/2023
Marshall Wace LLP,NATWEST GROUP Plc,GB00BM8PJY71,0.66,06/07/2023
Citadel Advisors LLC,NCC GROUP PLC,GB00B01QGK86,0.60,27/06/2023
Marshall Wace LLP,NEXT PLC,GB0032089863,0.78,30/06/2023
BlackRock Investment Management (UK) Limited,NINETY ONE PLC,GB00BJHPLV88,0.80,08/06/2023
GLG Partners LP,NINETY ONE PLC,GB00BJHPLV88,0.81,19/06/2023
"AQR Capital Management, LLC",OCADO GROUP PLC,GB00B3MBS747,0.50,06/07/2023
BlackRock Investment Management (UK) Limited,OCADO GROUP PLC,GB00B3MBS747,1.05,23/06/2023
D1 Capital Partners LP,OCADO GROUP PLC,GB00B3MBS747,0.93,04/07/2023
Gladstone Capital Management LLP,OCADO GROUP PLC,GB00B3MBS747,0.80,22/06/2023
Kintbury Capital LLP,OCADO GROUP PLC,GB00B3MBS747,0.79,31/03/2023
Systematica Investments Limited,OCADO GROUP PLC,GB00B3MBS747,0.58,03/07/2023
Whale Rock Capital Management LLC,OCADO GROUP PLC,GB00B3MBS747,0.60,08/03/2023
WorldQuant LLC,ON THE BEACH GROUP PLC,GB00BYM1K758,1.00,27/06/2023
"The Mangrove Partners Master Fund, Ltd.",Pantheon Resources,GB00B125SX82,0.91,23/02/2023
KERSLEY STREET CAPITAL LLP,PARAGON BANKING GROUP PLC,GB00B2NGPM57,0.61,26/04/2023
JPMorgan Asset Management (UK) Ltd,PENNON GROUP PLC,GB00BNNTLN49,0.90,29/06/2023
GLG Partners LP,PERSIMMON PLC,GB0006825383,0.95,23/06/2023
Citadel Advisors LLC,PETROFAC LTD,GB00B0H2K534,0.56,30/06/2023
GLG Partners LP,PETROFAC LTD,GB00B0H2K534,0.97,08/06/2023
Millennium Capital Partners LLP,PETROFAC LTD,GB00B0H2K534,0.65,28/04/2023
Qube Research & Technologies Limited,PETROFAC LTD,GB00B0H2K534,0.69,30/06/2023
BlackRock Investment Management (UK) Limited,PETS AT HOME GROUP PLC,GB00BJ62K685,0.67,24/05/2023
Citadel Advisors Europe Limited,PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29,0.50,20/03/2023
GLG Partners LP,PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29,0.50,25/05/2023
Mirabella Financial Services LLP,Premier Oil PLC,GB00B43G0577,1.30,26/03/2021
GLG Partners LP,PRIMARY HEALTH PROPERTIES PLC,GB00BYRJ5J14,1.46,24/05/2023
Polar Asset Management Partners Inc.,PRIMARY HEALTH PROPERTIES PLC,GB00BYRJ5J14,0.89,21/02/2023
Sandell Asset Management Corp,PRIMARY HEALTH PROPERTIES PLC,GB00BYRJ5J14,0.50,06/03/2019
BlackRock Investment Management (UK) Limited,PZ CUSSONS PLC,GB00B19Z1432,0.58,27/06/2023
GLG Partners LP,PZ CUSSONS PLC,GB00B19Z1432,0.60,28/06/2023
BlackRock Investment Management (UK) Limited,REDDE NORTHGATE PLC,GB00B41H7391,0.59,05/07/2023
Janus Henderson Investors UK Limited,RELX PLC,GB00B2B0DG97,0.61,10/09/2018
Armistice Capital LLC,Renalytix,GB00BYWL4Y04,1.46,30/06/2023
GLG Partners LP,RENEWI PLC,GB00BNR4T868,1.87,28/06/2023
Kintbury Capital LLP,RIGHTMOVE ORD,GB00BGDT3G23,0.65,26/06/2023
GLG Partners LP,SABRE INSURANCE GROUP PLC,GB00BYWVDP49,0.79,02/05/2023
GLG Partners LP,SAFESTORE HOLDINGS PLC,GB00B1N7Z094,0.66,06/07/2023
Acadian Asset Management LLC,SAGA PLC,GB00BMX64W89,0.58,07/02/2023
